"datasetID","site","species","propOcc"
236,"1","AB",0.818181818181818
236,"1","AL",0.909090909090909
236,"1","AO",1
236,"1","CH",0.181818181818182
236,"1","LU",0.363636363636364
236,"1","ME",1
236,"1","OD",1
236,"1","OL",1
236,"1","PD",1
236,"1","RN",0.0909090909090909
236,"10","AB",0.916666666666667
236,"10","AL",0.916666666666667
236,"10","AO",1
236,"10","CH",0.166666666666667
236,"10","LU",0.333333333333333
236,"10","ME",1
236,"10","OD",1
236,"10","OL",0.916666666666667
236,"10","PD",1
236,"10","RR",0.0833333333333333
236,"11","AB",0.75
236,"11","AL",0.833333333333333
236,"11","AO",1
236,"11","CH",0.166666666666667
236,"11","LU",0.25
236,"11","ME",1
236,"11","OD",1
236,"11","OL",1
236,"11","PD",1
236,"12","AB",0.7
236,"12","AL",0.8
236,"12","AO",1
236,"12","LU",0.2
236,"12","ME",1
236,"12","OD",1
236,"12","OL",0.9
236,"12","PD",1
236,"13","AB",0.888888888888889
236,"13","AL",1
236,"13","AO",1
236,"13","CH",0.111111111111111
236,"13","LU",0.222222222222222
236,"13","ME",1
236,"13","OD",1
236,"13","OL",0.888888888888889
236,"13","PD",1
236,"14","AB",0.833333333333333
236,"14","AL",0.916666666666667
236,"14","AO",1
236,"14","CH",0.166666666666667
236,"14","LU",0.25
236,"14","ME",1
236,"14","OD",1
236,"14","OL",0.75
236,"14","PD",1
236,"15","AB",0.9
236,"15","AL",0.9
236,"15","AO",1
236,"15","CH",0.2
236,"15","LU",0.2
236,"15","ME",1
236,"15","OD",0.9
236,"15","OL",0.8
236,"15","PD",1
236,"16","AB",0.636363636363636
236,"16","AL",0.909090909090909
236,"16","AO",1
236,"16","LU",0.272727272727273
236,"16","ME",0.818181818181818
236,"16","OD",0.909090909090909
236,"16","OL",0.909090909090909
236,"16","PD",1
236,"2","AB",0.916666666666667
236,"2","AL",0.916666666666667
236,"2","AO",1
236,"2","LU",0.166666666666667
236,"2","ME",1
236,"2","OD",1
236,"2","OL",0.833333333333333
236,"2","PD",1
236,"2","SC",0.0833333333333333
236,"3","AB",0.8
236,"3","AL",1
236,"3","AO",1
236,"3","CH",0.1
236,"3","LU",0.3
236,"3","ME",0.9
236,"3","OD",1
236,"3","OL",0.9
236,"3","PD",1
236,"4","AB",0.9
236,"4","AL",1
236,"4","AO",1
236,"4","LU",0.4
236,"4","ME",0.9
236,"4","OD",0.9
236,"4","OL",0.8
236,"4","PD",1
236,"4","SC",0.1
236,"5","AB",1
236,"5","AL",1
236,"5","AO",1
236,"5","CH",0.25
236,"5","ME",1
236,"5","OD",1
236,"5","OL",0.75
236,"5","PD",1
236,"6","AB",0.888888888888889
236,"6","AL",1
236,"6","AO",1
236,"6","LU",0.222222222222222
236,"6","ME",0.888888888888889
236,"6","OD",1
236,"6","OL",0.777777777777778
236,"6","PD",1
236,"7","AB",0.666666666666667
236,"7","AL",1
236,"7","AO",1
236,"7","LU",0.222222222222222
236,"7","ME",0.888888888888889
236,"7","OD",0.888888888888889
236,"7","OL",0.888888888888889
236,"7","PD",1
236,"8","AB",0.888888888888889
236,"8","AL",1
236,"8","AO",1
236,"8","CH",0.111111111111111
236,"8","LU",0.111111111111111
236,"8","ME",1
236,"8","OD",1
236,"8","OL",0.888888888888889
236,"8","PD",1
236,"9","AB",0.888888888888889
236,"9","AL",1
236,"9","AO",1
236,"9","CH",0.222222222222222
236,"9","ME",1
236,"9","OD",1
236,"9","OL",0.888888888888889
236,"9","PD",1
236,"9","SC",0.111111111111111
